q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q6,id,q6dik,thetas_q1,thetas_q2,thetas_q3,thetas_q4,thetas_nosacq,nosacq_sumscore,nosacq_dik
3,2,3,3,1,2,3,3,3,3,2,3,3,3,3,3,3,2,2,1,3,3,NA,67,NA,5.982980565502031,4.669683127331429,4.688697376262988,4.121989414829278,4,14,1
3,2,3,2,1,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,NA,68,NA,4.548904768653117,2.2341832520823717,4.688697376262989,3.3639667805164546,3.607071053400112,12,1
2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NA,69,NA,3.1026330451050166,1.6955009110512622,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
1,0,0,1,2,1,2,1,1,0,3,1,3,1,1,0,1,0,2,2,0,1,NA,70,NA,-2.8972037232013728,0.06904002740801556,0.17980136718786874,-0.4950284156778257,-1.6846662114014066,3,0
2,1,2,1,1,2,1,2,1,2,1,2,3,3,2,1,2,1,2,2,2,3,NA,71,NA,1.0184289485454514,1.1559974701783018,2.1876725423755783,2.522836086014548,1.2237390470267122,8,0
2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,NA,73,NA,4.548904768653119,5.973920818306586,6.017596473447941,6.281357121823078,4,13,1
3,3,2,2,0,2,2,2,2,2,2,2,3,2,3,2,2,3,3,2,3,2,NA,74,NA,4.548904768653119,2.2341832520823717,3.2792549970355394,4.121989414829279,3.607071053400111,12,1
3,1,1,1,0,1,1,1,1,3,3,3,3,1,2,1,1,2,1,1,3,2,NA,75,NA,1.0184289485454512,0.6131642011273591,3.2792549970355385,0.9501695254740972,1.7921523997348392,9,1
1,1,1,2,1,0,1,1,0,1,1,2,2,2,2,1,2,1,0,2,2,1,NA,76,NA,0.29560398914264474,-1.010888067071438,0.8899171831508685,-0.49502841567782574,0.6712963103208984,7,0
3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,NA,77,NA,7.295476831510103,5.973920818306586,4.688697376262989,6.281357121823078,4,15,1
2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NA,78,NA,2.346912601165269,1.6955009110512622,1.7132660161098876,2.522836086014548,1.7921523997348396,9,1
3,2,2,3,0,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,3,3,NA,79,NA,5.212645093423153,4.66968312733143,3.913291741954898,6.281357121823078,4,13,1
2,2,2,2,1,2,2,3,2,2,2,2,3,2,2,3,3,2,3,0,3,3,NA,80,NA,3.8655871034324223,2.7746788901630715,2.709169651013498,4.941333282279011,3.005637135808732,11,1
3,3,3,3,3,1,2,1,1,1,2,1,3,1,2,1,2,2,3,1,2,2,NA,81,NA,5.212645093423153,0.06904002740801556,1.2828974003997355,3.363966780516455,3.6070710534001105,12,1
1,2,1,1,2,1,0,1,0,2,2,2,2,1,3,1,2,1,0,0,1,2,NA,82,NA,0.29560398914264485,-1.010888067071438,1.2828974003997355,0.24873661708094072,1.2237390470267122,8,0
3,3,2,3,0,3,3,3,2,2,1,1,1,2,2,2,3,3,3,1,2,3,NA,84,NA,5.212645093423152,3.327324219782886,0.8899171831508688,6.281357121823078,4,14,1
3,2,3,3,0,2,0,3,1,3,2,2,2,2,2,2,3,1,3,0,3,3,NA,85,NA,5.212645093423153,1.1559974701783016,2.7091696510134984,4.121989414829279,4,14,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,86,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
2,1,2,2,0,3,2,2,3,1,2,2,3,1,3,2,3,2,2,1,3,3,Nej,87,0,2.3469126011652683,3.327324219782887,2.187672542375579,4.121989414829278,1.7921523997348396,9,1
3,2,3,3,2,1,3,3,2,1,3,3,3,3,3,3,2,3,2,1,3,3,Nej,90,0,5.982980565502031,3.3273242197828865,3.9132917419548985,4.121989414829279,3.0056371358087315,11,1
3,1,2,2,1,1,1,2,1,1,2,3,3,2,2,2,1,2,0,2,2,2,Nej,91,0,3.102633045105016,1.155997470178302,1.7132660161098876,0.24873661708094047,1.2237390470267118,8,0
2,1,2,1,1,2,2,2,2,3,1,1,2,1,2,2,2,2,2,2,2,2,Nej,93,0,1.6724902460457465,1.695500911051261,1.2828974003997355,2.522836086014548,1.7921523997348394,9,1
2,2,2,2,0,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,Nej,94,0,3.1026330451050166,1.6955009110512618,0.8899171831508689,0.9501695254740972,2.393362661121786,10,1
2,2,2,2,0,3,3,3,3,3,2,3,3,2,3,1,2,1,2,2,3,2,"Ja, fyra gånger eller fler",95,1,2.3469126011652683,5.973920818306586,3.9132917419548976,1.681873843351298,3.0056371358087315,11,1
2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nej,97,0,5.982980565502031,5.973920818306586,6.017596473447941,6.281357121823078,4,14,1
3,3,3,3,0,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,2,"Ja, en gång",98,1,7.295476831510103,4.66968312733143,2.7091696510134984,4.121989414829279,4,13,1
3,2,2,2,1,1,1,2,1,2,2,2,3,2,3,2,2,2,2,2,3,2,Nej,99,0,3.865587103432423,0.6131642011273593,3.2792549970355394,2.522836086014548,3.005637135808732,11,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,2,Nej,100,0,5.98298056550203,5.973920818306586,6.017596473447941,4.941333282279011,4,15,1
2,2,2,2,1,1,2,2,3,2,3,2,2,1,2,2,2,3,3,1,2,2,Nej,101,0,3.1026330451050166,2.2341832520823717,1.7132660161098874,4.121989414829279,2.393362661121786,10,1
1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,"Ja, tre gånger",102,1,-0.5843707865738103,0.6131642011273593,1.282897400399735,0.24873661708094072,0.10460154462159511,6,0
3,3,2,3,0,1,1,2,2,2,2,2,2,3,3,2,2,3,1,2,2,2,Nej,103,0,5.212645093423152,1.1559974701783011,2.709169651013498,2.522836086014548,4,13,1
3,2,3,2,1,2,2,2,2,2,1,2,2,2,2,3,3,2,2,1,3,2,Nej,104,0,5.212645093423153,2.2341832520823717,1.7132660161098874,3.363966780516455,3.607071053400111,12,1
